,class_names,class_names_transformed,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
26,anampses_geographicus,Anampses geographicus,187710,Anampses geographicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,Geographic Wrasse,"Valenciennes, 1840",2010,2009-02-03,LC,None,Stable,True,False,False,"Pollard, D.","Craig, M.T. & Carpenter, K.E.",None,None,None,None,3,25,None,None,None,None
27,anampses_lennardi,Anampses lennardi,187567,Anampses lennardi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,Blue and Yellow Wrasse,"Scott, 1959",2010,2009-02-04,LC,None,Stable,True,False,False,"Pollard, D. & Cabanban, A.","Craig, M.T. & Carpenter, K.E.",None,None,None,None,1,24,None,None,None,None
28,anampses_melanurus,Anampses melanurus,155146,Anampses melanurus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,White-spotted Wrasse,"Bleeker, 1857",2010,2009-02-04,LC,None,Unknown,True,False,False,"Cabanban, A.S. & Sadovy, Y.J. ","Collen, B., Richman, N., Beresford, A., Chenery, A. & Ram, M.",None,None,None,None,12,40,None,None,None,None
29,anampses_meleagrides,Anampses meleagrides,187723,Anampses meleagrides,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,Spotted Wrasse,"Valenciennes, 1840",2010,2009-02-03,LC,None,Stable,True,False,False,"Pollard, D.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,3,60,None,None,None,None
30,anampses_neoguinaicus,Anampses neoguinaicus,187759,Anampses neoguinaicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,Black-banded Wrasse,"Bleeker, 1878",2010,2009-02-04,LC,None,Stable,True,False,False,"Pollard, D. & Yeeting, B.","Craig, M.T. & Carpenter, K.E.",None,None,None,None,4,30,None,None,None,None
31,anampses_twistii,Anampses twistii,187784,Anampses twistii,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,Yellowbreasted Wrasse,"Bleeker, 1856",2010,2009-02-05,LC,None,Stable,True,False,False,"Pollard, D., Cabanban, A. & Yeeting, B.","Craig, M.T. & Carpenter, K.E.",None,None,None,None,3,30,None,None,None,None
32,anodontostoma_chacunda,Anodontostoma chacunda,46075152,Anodontostoma chacunda,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Anodontostoma,Shortnose Gizzard Shad,"(Hamilton, 1822)",2017,2017-03-06,LC,None,Unknown,True,True,False,"Williams, J.T. & Di Dario, F.","Birge, T.L.",None,None,None,None,0,50,None,None,None,None
33,anyperodon_leucogrammicus,Anyperodon leucogrammicus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,aphareus_furca,Aphareus furca,194289,Aphareus furca,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Aphareus,Small-toothed Jobfish,"(Lacepède, 1801)",2016,2015-03-04,LC,None,Unknown,True,False,False,"Russell, B., Smith-Vaniz, W.F., Lawrence, A., Carpenter, K.E., Myers, R. & Thaman, R.","Harvey, M.",None,None,None,None,1,302,None,None,None,None
35,aphareus_rutilans,Aphareus rutilans,194360,Aphareus rutilans,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Aphareus,Rusty Jobfish,"Cuvier, 1830",2016,2015-03-04,LC,None,Unknown,True,False,False,"Russell, B., Smith-Vaniz, W.F., Lawrence, A., Carpenter, K.E., Myers, R. & Thaman, R.","Harvey, M.",None,None,None,None,10,330,None,None,None,None
36,aprion_virescens,Aprion virescens,194379,Aprion virescens,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Aprion,Green Jobfish,"Valenciennes, 1830",2016,2015-03-04,LC,None,Unknown,True,False,False,"Russell, B., Smith-Vaniz, W.F., Lawrence, A., Carpenter, K.E., Myers, R. & Thaman, R.","Harvey, M.",None,None,None,None,0,120,None,None,None,None
37,argyrops_spinifer,Argyrops spinifer,170238,Argyrops spinifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Argyrops,King Soldier Bream,"(Forsskål, 1775)",2014,2009-12-02,LC,None,Stable,True,False,False,"Iwatsuki, Y., Russell, B., Carpenter, K.E., Mann, B.Q., Buxton, C.D., Pollard, D., Shao, K., Kaymaram, F., Hassan-Al-Khalf, K., Abdulqader, E., Hartmann, S., Bishop, J., Alnazry, H., Alam, S. & Jassim Kawari, A.","Fennessy, S.",None,None,None,None,5,400,None,None,None,None
38,aseraggodes_melanostictus,Aseraggodes melanostictus,69780030,Aseraggodes melanostictus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,SOLEIDAE,Aseraggodes,Mottled Solet,"(Peters, 1877)",2016,2015-03-06,LC,None,Unknown,True,False,False,"Munroe, T.","Ralph, G.",None,None,None,None,5.40000009536743,73,None,None,None,None
39,atractoscion_aequidens,Atractoscion aequidens,162708774,Atractoscion aequidens,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Atractoscion,African Weakfish,"(Cuvier, 1830)",2020,2018-09-25,NT,None,Stable,True,False,False,"Fennessy, S. & Winker, H.","Mann, B.Q. & Gorman, C.",None,None,None,None,15,200,None,None,None,None
